,ID,creator,current_location,description,object_category,object_name,production_date_end,production_date_start,production_place
47,2.36.5,"Mackintosh, Charles Rennie",Hill House / Drawing Room,One of a set of five wall light fittings. The fitting is a cuboid and made of silvered metal and leaded glass. The light is fitted with an opaque glass panel and decorated with a typical stylised rose decoration in pink and green.,Lighting,Wall Light,1910,1910,Unknown
48,2.37.1,"Mackintosh, Charles Rennie",Hill House / Drawing Room,One of a set of two candlesticks. The candlestick is made from ebonised wood with a bowed and molded rectangular base. On top of the candlestick rests a silver circular bowl supported by four square tapering legs.,Lighting,Candlestick,1904,1904,Unknown
49,2.37.2,"Mackintosh, Charles Rennie",Hill House / Drawing Room,One of a set of two candlesticks. The candlestick is made from ebonised wood with a bowed and molded rectangular base. On top of the candlestick rests a silver circular bowl supported by four square tapering legs.,Lighting,Candlestick,1904,1904,Unknown
50,2.41,Avena Carpets,Hill House / Drawing Room,A reproduction beige wool carpet with pink and fawn squares.,Household Textiles,Carpet,1999,1900,Halifax
51,2.42,Unknown,Hill House / See Separate Records for Locations of Parts,A set of four curtains made of cream cotton with black piping borders. The curtains are machine stitched with cream cotton thread.,Household Textiles,Curtain,0000,0000,Unknown
52,2.42.1,Unknown,Hill House / Library,One of a set of four curtains made of cream cotton with black piping. The curtains are machine stitched with cream cotton thread.,Household Textiles,Curtain,1999,1900,Unknown
53,2.42.2,Unknown,Hill House / Library,One of a set of four curtains made of cream cotton with black piping. The curtains are machine stitched with cream cotton thread.,Household Textiles,Curtain,1999,1900,Unknown
54,2.42.3,Unknown,Hill House / Library,One of a set of four curtains made of cream cotton with black piping. The curtains are machine stitched with cream cotton thread.,Household Textiles,Curtain,1999,1900,Unknown
55,2.42.4,Unknown,Hill House / Library,One of a set of four curtains made of cream cotton with black piping. The curtains are machine stitched with cream cotton thread.,Household Textiles,Curtain,1999,1900,Unknown
56,2.46,"Craig, John",Hill House / Attic,An ebonised pine towel rail. Rectangular top with pierced frieze and similarly decorated tapering trestle sides joined by a shelf supporting 2 tapering uprights which is joined by a moulded cross stretcher. Made by John Craig. Part of the original set of fittings for the cloakroom at the Hill House.,Furniture and Furnishings,Towel Rail,1904,1904,Unknown
57,2.51,Unknown,Hill House / Dining Room,Mahogany dining table. Rounded rectangular top with two extending D shapes on either end on ring turned baluster stems and splayed quadripartite support.,Furniture and Furnishings,Dining Table,1837,1811,Unknown
58,2.52,"Mackintosh, Charles Rennie",Hill House / Dining Room,A fireplace of stained dark pine surround inlaid with purple glass tiles. On the wall above the firegrate are 10 sets of four purple glass square tiles. The firegrate is composed of two rectangular metal panels with 2 shelves each at the top and bottom and 3 oval cut out holes on the top part.,Furniture and Furnishings,Fireplace,1903,1903,Unknown
59,2.53,"Mitchell, Alexander",Hill House / See Separate Records for Locations of Parts,A longcase clock and a set of two keys.,Furniture and Furnishings,Longcase Clock,1790,1780,Gorbals
60,2.53.1,"Mitchell, Alexander",Hill House / Dining Room,"A mahogany longcase clock. The clock has a broken pediment above an arched glazed door enclosing a brass dial with silvered chapter ring and subsidiary seconds dial with date aperture inscribed in the arch. The case is fitted with a rectangular trunk door with shaped apron on bracket feet. Above the face of the clock is a round brass plaque engaved ""Alex Mitchel Gorbals."" The clock face is metal with black dials and sits on a gilded relief decoration of botanics and marine life. On top of the case there is a scrolled carved wood decoration with an urn in the centre.",Furniture and Furnishings,Longcase Clock,1790,1780,"Gorbals, Glasgow, Scotland"
61,2.53.2,"Mitchell, Alexander",Hill House / Dining Room,"A key for the longcase clock. The key is brass and has a circular handle with a tip, a flat straight body and cylindrical end with a square hole pierced. This could possibly be the key to wind the longcase clock.",Furniture and Furnishings,Key,1790,1780,"Gorbals, Glasgow, Scotland"
62,2.53.3,"Mitchell, Alexander",Hill House / Dining Room,A key for the longcase clock. The key is made of white metal and has an oval handle with a cylindrical body.,Furniture and Furnishings,Key,1790,1780,"Gorbals, Glasgow, Scotland"
63,2.54,Unknown,Hill House / Dining Room,Mahogany gateleg table with satinwood crossbanded and boxwood inlaid in the form of a scrolling acanthus. Rectangular twin flap top on square supports and block toes.,Furniture and Furnishings,Table,1899,1870,Unknown
64,2.56,Unknown,Hill House / Dining Room,An elm armchair with a yoked toprail above a pierced vase-shaped splat and a drop-in seat flanked by scrolled armrests. The chair has square supports joined by square stretchers. The seat is covered with red leather.,Furniture and Furnishings,Open Armchair,1769,1740,Unknown
65,2.57.1,Unknown,Hill House / Dining Room,"A side chair in stained mahogany, with serpentine back and vase splat. The chair has cabriole legs and a seat upholstered in cut velvet stripes.",Furniture and Furnishings,Side Chair,1929,1900,Unknown
66,2.57.2,Unknown,Hill House / Dining Room,"A side chair in stained mahogany, with serpentine back and vase splat. The chair has cabriole legs and a seat upholstered in cut velvet stripes.",Furniture and Furnishings,Side Chair,1929,1900,Unknown
67,2.58,Unknown,Hill House / Dining Room,"Walnut side table with a rounded rectangular dished top above a shaped frieze, on cabriole supports and pad feet.",Furniture and Furnishings,Table,1769,1740,Unknown
68,2.59,Unknown,Hill House / Dining Room,"Mahogany sideboard with 3 shallow drawers in the shaped bow front flanked by a deep drawer on either side, on tapering square legs. Additional stepped level on top in the same style but without drawers.",Furniture and Furnishings,Sideboard,1899,1800,Unknown
69,2.6,Unknown,Hill House / Dining Room,A round Sheffield silver plate waiter tray which is engraved in the centre with an armorial crest and an illegible inscription. The tray rests on 3 feet.,"Cooking, Dining and Drinking",Tray,1899,1800,Unknown
70,2.62.1,"Mackintosh, Charles Rennie",Hill House / Dining Room,One of a set of four wall sconces. Brass rectangular light with two sections of metal bars fitted with opaque glass panels on the bottom half. Attached to a wooden tear shaped board.,Furniture and Furnishings,Wall Sconce,1904,1904,Unknown
71,2.62.2,"Mackintosh, Charles Rennie",Hill House / Dining Room,One of a set of four wall sconces. Brass rectangular light with two sections of metal bars fitted with opaque glass panels on the bottom half. Attached to a wooden tear shaped board.,Furniture and Furnishings,Wall Sconce,1904,1904,Unknown
72,2.62.3,"Mackintosh, Charles Rennie",Hill House / Dining Room,One of a set of four wall sconces. Brass rectangular light with two sections of metal bars fitted with opaque glass panels on the bottom half. Attached to a wooden tear shaped board.,Furniture and Furnishings,Wall Sconce,1904,1904,Unknown
73,2.62.4,"Mackintosh, Charles Rennie",Hill House / Dining Room,One of a set of four wall sconces. Brass rectangular light with two sections of metal bars fitted with opaque glass panels on the bottom half. Attached to a wooden tear shaped board.,Furniture and Furnishings,Wall Sconce,1904,1904,Unknown
74,2.63.1,Unknown,Hill House / Dining Room,One of a set of five silver plated candlesticks. The candlestick is of Adams style with an oval base with fluted tapering stem and supporting ribbed oval candle sconce. Under the base there is green velvet layer.,Lighting,Candlestick,0000,0000,Unknown
75,2.63.2,Unknown,Hill House / Dining Room,One of a set of five silver plated candlesticks. The candlestick is of Adams style with an oval base with fluted tapering stem and supporting ribbed oval candle sconce. Under the base there is green velvet layer.,Lighting,Candlestick,0000,0000,Unknown
76,2.63.3,Unknown,Hill House / Dining Room,One of a set of five silver plated candlesticks. The candlestick is of Adams style with an oval base with fluted tapering stem and supporting ribbed oval candle sconce. Under the base there is green velvet layer,Lighting,Candlestick,0000,0000,Unknown
77,2.63.4,Unknown,Hill House / Dining Room,One of a set of five silver plated candlesticks. The candlestick is of Adams style with an oval base with fluted tapering stem and supporting ribbed oval candle sconce. Under the base there is green velvet layer.,Lighting,Candlestick,0000,0000,Unknown
78,2.63.5,Unknown,Hill House / Linen Cupboard A / Silver Strong Room / Shelf 1,One of a set of five silver plated candlesticks. The candlestick is of Adams style with an oval base with fluted tapering stem and supporting ribbed oval candle sconce. Under the base there is green velvet layer,Lighting,Candlestick,0000,0000,Unknown
79,2.64,Spinks & Co.,Hill House / Dining Room,"A round silver punch bowl with brimmed lip, an embossed leaf motif and tiered foot. The bowl is engraved with ""Presented to Brother Mason James Honeyman Henderson, 3rd Seaforth Highlander 18th of December 1900"" and makers mark ""Spink & Son. London.""","Cooking, Dining and Drinking",Bowl,1900,1900,London
80,2.65,Unknown,Hill House / Dining Room,"Electro-plated plate warmer. Rectangular metal body with side handles with round wooden grips on four paw feet. Electric plug attached. Metal plaque on bottom reads: ""Volts Watts 230/250 400 Trademark 612"" which is screwed on the body with two screws.","Cooking, Dining and Drinking",Plate Warmer,1929,1900,Unknown
81,2.69.1,Unknown,Hill House / Butler's Pantry,Ceramic jug with copper lustre glaze decorated with a scene of a dancing couple with floral motifs and blue details. The handle is curved with floral motifs and blue detail. The jug has a raised lip with spout and a raised foot. The interior of the jug is white.,"Cooking, Dining and Drinking",Jug,1899,1800,Unknown
82,2.69.2,Unknown,Hill House / Butler's Pantry,Ceramic jug with copper lustre glaze decorated with a scene depicting a dancing couple with floral motifs and blue details. The handle is curved with floral motifs and blue detail. The jug has a raised lip with spout and a raised foot. The interior of the jug is white.,"Cooking, Dining and Drinking",Jug,1901,1837,Unknown
83,2.70.1,Royal Worcester,Hill House / Dining Room,"A round ceramic fruit stand with a fluted foot. The foot is decorated with a gold band around the edge and a pink, blue and gold pattern and a gold leaf decoration on the body of the foot. The plate has a gold rim and a gold, pink and blue decoration around the edge and there is a hand painted floral decoration in purple, red, white and green in the middle. On the bottom is the maker's mark: a circle with ""WWWW C 51"" on the inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Fruit Stand,1929,1900,Unknown
84,2.70.2,Royal Worcester,Hill House / Dining Room,"A round ceramic fruit stand with a fluted foot. The foot is decorated with a gold band around the edge and a pink, blue and gold pattern and a gold leaf decoration on the body of the foot. The plate has a gold rim and a gold, pink and blue decoration around the edge and there is a hand painted floral decoration in purple, red, white and green in the middle. On the bottom is the maker's mark: a circle with ""WWWW C 51"" on the inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Fruit Stand,1929,1900,Unknown
85,2.70.3,Royal Worcester,Hill House / Dining Room,"A round ceramic fruit stand with a fluted foot. The foot is decorated with a gold band around the edge and a pink, blue and gold pattern and a gold leaf decoration on the body of the foot. The plate has a gold rim and a gold, pink and blue decoration around the edge and there is a hand painted floral decoration in purple, red, white and green in the middle. On the bottom is the maker's mark: a circle with ""WWWW C 51"" on the inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Fruit Stand,1929,1900,Unknown
86,2.70.4,Royal Worcester,Hill House / Dining Room,"A round ceramic fruit stand with a fluted foot. The foot is decorated with a gold band around the edge and a pink, blue and gold pattern and a gold leaf decoration on the body of the foot. The plate has a gold rim and a gold, pink and blue decoration around the edge and there is a hand painted floral decoration in purple, red, white and green in the middle. On the bottom is the maker's mark: a circle with ""WWWW C 51"" on the inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Fruit Stand,1929,1900,Unknown
87,2.70.5,Royal Worcester,Hill House / Dining Room,"A round ceramic fruit stand with a fluted foot. The foot is decorated with a gold band around the edge and a pink, blue and gold pattern and a gold leaf decoration on the body of the foot. The plate has a gold rim and a gold, pink and blue decoration around the edge and there is a hand painted floral decoration in purple, red, white and green in the middle. On the bottom is the maker's mark: a circle with ""WWWW C 51"" on the inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Fruit Stand,1929,1900,Unknown
88,2.70.6,Royal Worcester,Hill House / Dining Room,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverese is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Plate,1929,1900,Unknown
89,2.70.7,Royal Worcester,Hill House / Dining Room,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverese is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Plate,1929,1900,Unknown
90,2.70.8,Royal Worcester,Hill House / Dining Room,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverese is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Plate,1929,1900,Unknown
91,2.70.9,Royal Worcester,Hill House / Dining Room,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverese is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Plate,1929,1900,Unknown
92,2.70.10,Royal Worcester,Hill House / Dining Room,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverese is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Plate,1929,1900,Unknown
93,2.70.11,Royal Worcester,Hill House / Dining Room,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverse is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Plate,1929,1900,Unknown
94,2.70.12,Royal Worcester,Hill House / Dining Room,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverse is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Plate,1929,1900,Unknown
95,2.70.13,Royal Worcester,Hill House / Dining Room,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverse is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Plate,1929,1900,Unknown
96,2.70.14,Royal Worcester,Hill House / Dining Room,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverse is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Plate,1929,1900,Unknown
97,2.70.15,Royal Worcester,Hill House / Dining Room,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverse is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Plate,1929,1900,Unknown
98,2.70.16,Royal Worcester,Hill House / Dining Room,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverse is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Plate,1929,1900,Unknown
99,2.70.17,Royal Worcester,Hill House / Dining Room,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverese is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.","Cooking, Dining and Drinking",Plate,1929,1900,Unknown
100,2.71.1,Unknown,Hill House / Dining Room,One of a set of seven wine glasses. Bell shaped with a lozenge shaped cut glass detail. The base is round with a tapered foot.,"Cooking, Dining and Drinking",Glass,1999,1900,Unknown
101,2.71.2,Unknown,Hill House / Dining Room,One of a set of seven wine glasses. Bell shaped with a lozenge shaped cut glass detail. The base is round with a tapered foot.,"Cooking, Dining and Drinking",Glass,1999,1900,Unknown
102,2.71.3,Unknown,Hill House / Dining Room,One of a set of seven wine glasses. Bell shaped with a lozenge shaped cut glass detail. The base is round with a tapered foot.,"Cooking, Dining and Drinking",Glass,1999,1900,Unknown
103,2.71.4,Unknown,Hill House / Dining Room,One of a set of seven wine glasses. Bell shaped with a lozenge shaped cut glass detail. The base is round with a tapered foot.,"Cooking, Dining and Drinking",Glass,1999,1900,Unknown
104,2.71.5,Unknown,Hill House / Dining Room,One of a set of seven wine glasses. Bell shaped with a lozenge shaped cut glass detail. The base is round with a tapered foot.,"Cooking, Dining and Drinking",Glass,1999,1900,Unknown
105,2.71.6,Unknown,Hill House / Dining Room,One of a set of seven wine glasses. Bell shaped with a lozenge shaped cut glass detail. The base is round with a tapered foot.,"Cooking, Dining and Drinking",Glass,1999,1900,Unknown
106,2.71.7,Unknown,Hill House / Dining Room,One of a set of seven wine glasses. Bell shaped with a lozenge shaped cut glass detail. The base is round with a tapered foot.,"Cooking, Dining and Drinking",Glass,1999,1900,Unknown
