object_number,record_type,number_of_parts,object_category,object_name,title,description,material.part,condition.part,creator,creator.qualifier,creator.role,production.place,production.period,production.date.start,production.date.start.prec,production.date.end,production.date.end.prec,part_of_reference,parts_reference,current_location
2.22.1,single object,1,Furniture and Furnishings,Armchair,,An ebonised wood easy armchair with mother-of-pearl square inlay and beige chenille upholstery. Padded back with padded scrolled armrests and upholstered seat. The chair has square twin end supports and two front legs were later added.,,,"Mackintosh, Charles Rennie",,Artist,,Early 20th century,1905,,1905,,2.22,,Hill House / Drawing Room
2.22.2,single object,1,Furniture and Furnishings,Armchair,,An ebonised wood easy armchair with mother-of-pearl square inlay and beige chenille upholstery. Padded back with padded scrolled armrests and upholstered seat. The chair has square twin end supports and two front legs were later added.,frame,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1905,,1905,,2.22,,Hill House / Drawing Room
2.23,single object,1,Furniture and Furnishings,Table,,"A white painted pine window table with coloured glass inserts, two tapering legs, two shelves, a top apron with square inserts and one square drawer with a metal handle. The table is fitted to the wall beneath a window.",,,"Jack, William",,Maker,,Early 20th century,1903,,1903,,,,Hill House / Drawing Room
2.24,set,2,Furniture and Furnishings,Armchair,,A pair of ebonised oak armchairs.,,,"Mackintosh, Charles Rennie",,Designer,,,,,,,,2.24.1,Hill House / See Separate Records for Locations of Parts
2.24.1,single object,1,Furniture and Furnishings,Armchair,,One of a set of two armchairs. An ebonised oak armchair with rectangular tapering padded back and upholestered seat. The seat is upholestered with a cream chenille. The chair is flanked by armrests. The chair has turned supports joined by twin turned front stretchers and the sides have four turned stretchers.,,,"Mackintosh, Charles Rennie",,Designer,,,1904,,1904,,2.24,,Hill House / Drawing Room
2.24.2,single object,1,Furniture and Furnishings,Armchair,,One of a set of two armchairs. An ebonised oak armchair with rectangular tapering padded back and upholestered seat. The seat is upholestered with a cream chenille. The chair is flanked by armrests. The chair has turned supports joined by twin turned front stretchers and the sides have four turned stretchers.,,,"Mackintosh, Charles Rennie",,Designer,,,1904,,1904,,2.24,,Hill House / Drawing Room
2.26.1,single object,1,Furniture and Furnishings,Window Seat,,A white painted wooden window seat. The seat has a rectangular padded back above cushioned seats and rests on square supports flanked on either side by rectangular columns. The rectangular columns are headed by stylised flowerheads each carved with four rectangular medallions. The sides of the seat are fitted with three open book divisions. The seat is upholersted with straw coloured hessian and decorated with a pink rose stencil. The whole is reconstructed based on the original.,,,"Jack, William",,Maker,"Arundel, Sussex, England",Early 20th century,1903,,1903,,2.26,,Hill House / Drawing Room
2.26.2,single object,1,Furniture and Furnishings,Seat Cover,,A seat cover for the window seat in the Hill House Drawing Room. The seat cover has a brown hessian backing with a stencilled cube border running around three edges and on the main body there is a stencilled stylised rose and leaf motif in pink and green.,,,"Jack, William",,Maker,"Arundel, Sussex, England",Early 20th century,1903,,1903,,2.26,,Hill House / Daughter's Bedroom
2.27.1,single object,1,Furniture and Furnishings,Standard Lamp,,A standard lamp made from sycamore and fruitwood which was designed by Charles Rennie Mackintosh and made by John Craig. The lamp has a rectangular top enclosing a silvered reservoir and is inlaid with rectangular panels of mother-of-pearl. The lamp is supported by four square columns which are joined by stretchers repeating the motif.,stand,,"Mackintosh, Charles Rennie",,Designer,,,1905,,1905,,,,Hill House / Drawing Room
2.27.2,single object,1,Household Textiles,Lamp Shade,,A copy of the original lamp shade for the Hill House Drawing Room. White cotton with pink roses and green leaves with a black ribbon to form a trellis. Brass beads are sewn in to the decoration.,,,"Mackintosh, Charles Rennie",,Designer,,,1905,,1905,,,,Hill House / Drawing Room
2.29,single object,1,Furniture and Furnishings,Stool,,A wooden piano stool with two side hand rails and four square tapering supports. The seat is square and covered with red cotton upholstery. The seat is a lid with storage space underneath.,,,"Broadwood, John & Sons",,Manufacturer,,Early 20th century,1925,,1930,,,,Hill House / Drawing Room
2.3,single object,1,Furniture and Furnishings,Grand Piano,,"An ebonised wood grand piano with a boudoir top and ivory and ebony keys, with four square tapering supports and brass caps and castors.",,,John Broadwood & Sons,,Maker,,,1925,,1930,,,,Hill House / Drawing Room
2.31.2,single object,1,Furniture and Furnishings,Key,,One of a set. A key for the cabinet door made of beaten metal with a stirrup shaped handle.,,,"Mackintosh, Charles Rennie",,Designer,,,1904,,1904,,2.31,,Hill House / Daughter's Bedroom
2.32,single object,1,Furniture and Furnishings,Table,,"A centre table made from ebonised wood and inlaid with mother-of-pearl. The table has a rectangular top inlaid with four mother-of-pearl rectangles, four square supports inlaid with mother-of-pearl rectangles and is fitted with four shelves.",,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1908,,1908,,,,Hill House / Drawing Room
2.34.1,single object,1,Fire and Fireplace,Poker,,A polished steel poker with a square handle and a pointed tip.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1903,,1903,,2.34,,Hill House / Drawing Room
2.34.2,single object,1,Fire and Fireplace,Tongs,,A pair of polished steel tongs with looped oval handles and flat round ends.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1903,,1903,,2.34,,Hill House / Drawing Room
2.35,single object,1,Fire and Fireplace,Fender,,A polished steel fender with squared edges.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1903,,1903,,,,Hill House / Drawing Room
2.36.1,single object,1,Lighting,Wall Light,,One of a set of five wall light fittings. The fitting is a cuboid and made of silvered metal and leaded glass. The light is fitted with an opaque glass panel and decorated with a typical stylised rose decoration in pink and green.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1910,,1910,,2.36,,Hill House / Drawing Room
2.36.2,single object,1,Lighting,Wall Light,,One of a set of five wall light fittings. The fitting is a cuboid and made of silvered metal and leaded glass. The light is fitted with an opaque glass panel and decorated with a typical stylised rose decoration in pink and green.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1910,,1910,,2.36,,Hill House / Drawing Room
2.36.3,single object,1,Lighting,Wall Light,,One of a set of five wall light fittings. The fitting is a cuboid and made of silvered metal and leaded glass. The light is fitted with an opaque glass panel and decorated with a typical stylised rose decoration in pink and green.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1910,,1910,,2.36,,Hill House / Drawing Room
2.36.4,single object,1,Lighting,Wall Light,,One of a set of five wall light fittings. The fitting is a cuboid and made of silvered metal and leaded glass. The light is fitted with an opaque glass panel and decorated with a typical stylised rose decoration in pink and green.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1910,,1910,,2.36,,Hill House / Drawing Room
2.36.5,single object,1,Lighting,Wall Light,,One of a set of five wall light fittings. The fitting is a cuboid and made of silvered metal and leaded glass. The light is fitted with an opaque glass panel and decorated with a typical stylised rose decoration in pink and green.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1910,,1910,,2.36,,Hill House / Drawing Room
2.37.1,single object,1,Lighting,Candlestick,,One of a set of two candlesticks. The candlestick is made from ebonised wood with a bowed and molded rectangular base. On top of the candlestick rests a silver circular bowl supported by four square tapering legs.,,,"Mackintosh, Charles Rennie",,Designer,,,1904,,1904,,,,Hill House / Drawing Room
2.37.2,single object,1,Lighting,Candlestick,,One of a set of two candlesticks. The candlestick is made from ebonised wood with a bowed and molded rectangular base. On top of the candlestick rests a silver circular bowl supported by four square tapering legs.,,,"Mackintosh, Charles Rennie",,Designer,,,1904,,1904,,2.37,,Hill House / Drawing Room
2.41,single object,1,Household Textiles,Carpet,,A reproduction beige wool carpet with pink and fawn squares.,,,Avena Carpets,,Manufacturer,Halifax,20th century,1900,,1999,,,,Hill House / Drawing Room
2.42,set,4,Household Textiles,Curtain,,A set of four curtains made of cream cotton with black piping borders. The curtains are machine stitched with cream cotton thread.,,,,,,,,,,,,,2.42.1,Hill House / See Separate Records for Locations of Parts
2.42.1,single object,1,Household Textiles,Curtain,,One of a set of four curtains made of cream cotton with black piping. The curtains are machine stitched with cream cotton thread.,,,,,,,20th century,1900,,1999,,2.42,,Hill House / Library
2.42.2,single object,1,Household Textiles,Curtain,,One of a set of four curtains made of cream cotton with black piping. The curtains are machine stitched with cream cotton thread.,,,,,,,20th century,1900,,1999,,2.42,,Hill House / Library
2.42.3,single object,1,Household Textiles,Curtain,,One of a set of four curtains made of cream cotton with black piping. The curtains are machine stitched with cream cotton thread.,,,,,,,20th century,1900,,1999,,2.42,,Hill House / Library
2.42.4,single object,1,Household Textiles,Curtain,,One of a set of four curtains made of cream cotton with black piping. The curtains are machine stitched with cream cotton thread.,,,,,,,20th century,1900,,1999,,2.42,,Hill House / Library
2.46,single object,1,Furniture and Furnishings,Towel Rail,,An ebonised pine towel rail. Rectangular top with pierced frieze and similarly decorated tapering trestle sides joined by a shelf supporting 2 tapering uprights which is joined by a moulded cross stretcher. Made by John Craig. Part of the original set of fittings for the cloakroom at the Hill House.,,,"Craig, John",,Maker,,,1904,,1904,,,,Hill House / Attic
2.51,single object,1,Furniture and Furnishings,Dining Table,,Mahogany dining table. Rounded rectangular top with two extending D shapes on either end on ring turned baluster stems and splayed quadripartite support.,Whole,,,,,,Early 19th century,1811,,1837,,,,Hill House / Dining Room
2.52,single object,1,Furniture and Furnishings,Fireplace,,A fireplace of stained dark pine surround inlaid with purple glass tiles. On the wall above the firegrate are 10 sets of four purple glass square tiles. The firegrate is composed of two rectangular metal panels with 2 shelves each at the top and bottom and 3 oval cut out holes on the top part.,Panel,,"Mackintosh, Charles Rennie",,Designer,,,1903,,1903,,,,Hill House / Dining Room
2.53,single object,3,Furniture and Furnishings,Longcase Clock,,A longcase clock and a set of two keys.,,,"Mitchell, Alexander",,,Gorbals,,1780,,1790,,,2.53.1,Hill House / See Separate Records for Locations of Parts
2.53.1,single object,1,Furniture and Furnishings,Longcase Clock,,"A mahogany longcase clock. The clock has a broken pediment above an arched glazed door enclosing a brass dial with silvered chapter ring and subsidiary seconds dial with date aperture inscribed in the arch. The case is fitted with a rectangular trunk door with shaped apron on bracket feet. Above the face of the clock is a round brass plaque engaved ""Alex Mitchel Gorbals."" The clock face is metal with black dials and sits on a gilded relief decoration of botanics and marine life. On top of the case there is a scrolled carved wood decoration with an urn in the centre.",Case,,"Mitchell, Alexander",,,"Gorbals, Glasgow, Scotland",,1780,,1790,,2.53,,Hill House / Dining Room
2.53.2,single object,1,Furniture and Furnishings,Key,,"A key for the longcase clock. The key is brass and has a circular handle with a tip, a flat straight body and cylindrical end with a square hole pierced. This could possibly be the key to wind the longcase clock.",Whole,,"Mitchell, Alexander",,,"Gorbals, Glasgow, Scotland",,1780,,1790,,2.53,,Hill House / Dining Room
2.53.3,single object,1,Furniture and Furnishings,Key,,A key for the longcase clock. The key is made of white metal and has an oval handle with a cylindrical body.,,,"Mitchell, Alexander",,,"Gorbals, Glasgow, Scotland",,1780,,1790,,2.53,,Hill House / Dining Room
2.54,single object,1,Furniture and Furnishings,Table,,Mahogany gateleg table with satinwood crossbanded and boxwood inlaid in the form of a scrolling acanthus. Rectangular twin flap top on square supports and block toes.,Whole,,,,,,Late 19th century,1870,,1899,,,,Hill House / Dining Room
2.56,single object,1,Furniture and Furnishings,Open Armchair,,An elm armchair with a yoked toprail above a pierced vase-shaped splat and a drop-in seat flanked by scrolled armrests. The chair has square supports joined by square stretchers. The seat is covered with red leather.,Frame,,,,,,Mid-Georgian,1740,,1769,,,,Hill House / Dining Room
2.57.1,single object,1,Furniture and Furnishings,Side Chair,,"A side chair in stained mahogany, with serpentine back and vase splat. The chair has cabriole legs and a seat upholstered in cut velvet stripes.",Frame,,,,,,Early 20th century,1900,,1929,,2.57,,Hill House / Dining Room
2.57.2,single object,1,Furniture and Furnishings,Side Chair,,"A side chair in stained mahogany, with serpentine back and vase splat. The chair has cabriole legs and a seat upholstered in cut velvet stripes.",Whole,,,,,,Early 20th century,1900,,1929,,2.57,,Hill House / Dining Room
2.58,single object,1,Furniture and Furnishings,Table,,"Walnut side table with a rounded rectangular dished top above a shaped frieze, on cabriole supports and pad feet.",Whole,,,,,,Mid-18th century,1740,,1769,,,,Hill House / Dining Room
2.59,single object,1,Furniture and Furnishings,Sideboard,,"Mahogany sideboard with 3 shallow drawers in the shaped bow front flanked by a deep drawer on either side, on tapering square legs. Additional stepped level on top in the same style but without drawers.",Whole,,,,,,19th century,1800,,1899,,,,Hill House / Dining Room
2.6,single object,1,"Cooking, Dining and Drinking",Tray,,A round Sheffield silver plate waiter tray which is engraved in the centre with an armorial crest and an illegible inscription. The tray rests on 3 feet.,Whole,,,,,,19th century,1800,,1899,,,,Hill House / Dining Room
2.62.1,single object,1,Furniture and Furnishings,Wall Sconce,,One of a set of four wall sconces. Brass rectangular light with two sections of metal bars fitted with opaque glass panels on the bottom half. Attached to a wooden tear shaped board.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1904,,1904,,2.62,,Hill House / Dining Room
2.62.2,single object,1,Furniture and Furnishings,Wall Sconce,,One of a set of four wall sconces. Brass rectangular light with two sections of metal bars fitted with opaque glass panels on the bottom half. Attached to a wooden tear shaped board.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1904,,1904,,2.62,,Hill House / Dining Room
2.62.3,single object,1,Furniture and Furnishings,Wall Sconce,,One of a set of four wall sconces. Brass rectangular light with two sections of metal bars fitted with opaque glass panels on the bottom half. Attached to a wooden tear shaped board.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1904,,1904,,2.62,,Hill House / Dining Room
2.62.4,single object,1,Furniture and Furnishings,Wall Sconce,,One of a set of four wall sconces. Brass rectangular light with two sections of metal bars fitted with opaque glass panels on the bottom half. Attached to a wooden tear shaped board.,,,"Mackintosh, Charles Rennie",,Designer,,Early 20th century,1904,,1904,,2.62,,Hill House / Dining Room
2.63.1,single object,1,Lighting,Candlestick,,One of a set of five silver plated candlesticks. The candlestick is of Adams style with an oval base with fluted tapering stem and supporting ribbed oval candle sconce. Under the base there is green velvet layer.,,,,,,,Late Victorian,,,,,2.63,,Hill House / Dining Room
2.63.2,single object,1,Lighting,Candlestick,,One of a set of five silver plated candlesticks. The candlestick is of Adams style with an oval base with fluted tapering stem and supporting ribbed oval candle sconce. Under the base there is green velvet layer.,,,,,,,Late Victorian,,,,,2.63,,Hill House / Dining Room
2.63.3,single object,1,Lighting,Candlestick,,One of a set of five silver plated candlesticks. The candlestick is of Adams style with an oval base with fluted tapering stem and supporting ribbed oval candle sconce. Under the base there is green velvet layer,,,,,,,Late Victorian,,,,,2.63,,Hill House / Dining Room
2.63.4,single object,1,Lighting,Candlestick,,One of a set of five silver plated candlesticks. The candlestick is of Adams style with an oval base with fluted tapering stem and supporting ribbed oval candle sconce. Under the base there is green velvet layer.,,,,,,,Late Victorian,,,,,2.63,,Hill House / Dining Room
2.63.5,single object,1,Lighting,Candlestick,,One of a set of five silver plated candlesticks. The candlestick is of Adams style with an oval base with fluted tapering stem and supporting ribbed oval candle sconce. Under the base there is green velvet layer,,,,,,,Late Victorian,,,,,2.63,,Hill House / Linen Cupboard A / Silver Strong Room / Shelf 1
2.64,single object,1,"Cooking, Dining and Drinking",Bowl,,"A round silver punch bowl with brimmed lip, an embossed leaf motif and tiered foot. The bowl is engraved with ""Presented to Brother Mason James Honeyman Henderson, 3rd Seaforth Highlander 18th of December 1900"" and makers mark ""Spink & Son. London.""",Whole,,Spinks & Co.,Retailed by,Maker,London,Early 20th century,1900,,1900,,,,Hill House / Dining Room
2.65,single object,1,"Cooking, Dining and Drinking",Plate Warmer,,"Electro-plated plate warmer. Rectangular metal body with side handles with round wooden grips on four paw feet. Electric plug attached. Metal plaque on bottom reads: ""Volts Watts 230/250 400 Trademark 612"" which is screwed on the body with two screws.",Whole,,,,,,Early 20th century,1900,,1929,,,,Hill House / Dining Room
2.69.1,single object,1,"Cooking, Dining and Drinking",Jug,,Ceramic jug with copper lustre glaze decorated with a scene of a dancing couple with floral motifs and blue details. The handle is curved with floral motifs and blue detail. The jug has a raised lip with spout and a raised foot. The interior of the jug is white.,Whole,,,,,,19th century,1800,,1899,,2.69,,Hill House / Butler's Pantry
2.69.2,single object,1,"Cooking, Dining and Drinking",Jug,,Ceramic jug with copper lustre glaze decorated with a scene depicting a dancing couple with floral motifs and blue details. The handle is curved with floral motifs and blue detail. The jug has a raised lip with spout and a raised foot. The interior of the jug is white.,,,,,,,19th century,1837,,1901,,2.69,,Hill House / Butler's Pantry
2.70.1,single object,1,"Cooking, Dining and Drinking",Fruit Stand,,"A round ceramic fruit stand with a fluted foot. The foot is decorated with a gold band around the edge and a pink, blue and gold pattern and a gold leaf decoration on the body of the foot. The plate has a gold rim and a gold, pink and blue decoration around the edge and there is a hand painted floral decoration in purple, red, white and green in the middle. On the bottom is the maker's mark: a circle with ""WWWW C 51"" on the inside with a crown on top and the number ""74"" in plum.",,,Royal Worcester,,,,Early 20th century,1900,,1929,,2.7,,Hill House / Dining Room
2.70.2,single object,1,"Cooking, Dining and Drinking",Fruit Stand,,"A round ceramic fruit stand with a fluted foot. The foot is decorated with a gold band around the edge and a pink, blue and gold pattern and a gold leaf decoration on the body of the foot. The plate has a gold rim and a gold, pink and blue decoration around the edge and there is a hand painted floral decoration in purple, red, white and green in the middle. On the bottom is the maker's mark: a circle with ""WWWW C 51"" on the inside with a crown on top and the number ""74"" in plum.",,,Royal Worcester,,,,Early 20th century,1900,,1929,,2.7,,Hill House / Dining Room
2.70.3,single object,1,"Cooking, Dining and Drinking",Fruit Stand,,"A round ceramic fruit stand with a fluted foot. The foot is decorated with a gold band around the edge and a pink, blue and gold pattern and a gold leaf decoration on the body of the foot. The plate has a gold rim and a gold, pink and blue decoration around the edge and there is a hand painted floral decoration in purple, red, white and green in the middle. On the bottom is the maker's mark: a circle with ""WWWW C 51"" on the inside with a crown on top and the number ""74"" in plum.",,,Royal Worcester,,,,Early 20th century,1900,,1929,,2.7,,Hill House / Dining Room
2.70.4,single object,1,"Cooking, Dining and Drinking",Fruit Stand,,"A round ceramic fruit stand with a fluted foot. The foot is decorated with a gold band around the edge and a pink, blue and gold pattern and a gold leaf decoration on the body of the foot. The plate has a gold rim and a gold, pink and blue decoration around the edge and there is a hand painted floral decoration in purple, red, white and green in the middle. On the bottom is the maker's mark: a circle with ""WWWW C 51"" on the inside with a crown on top and the number ""74"" in plum.",,,Royal Worcester,,,,Early 20th century,1900,,1929,,2.7,,Hill House / Dining Room
2.70.5,single object,1,"Cooking, Dining and Drinking",Fruit Stand,,"A round ceramic fruit stand with a fluted foot. The foot is decorated with a gold band around the edge and a pink, blue and gold pattern and a gold leaf decoration on the body of the foot. The plate has a gold rim and a gold, pink and blue decoration around the edge and there is a hand painted floral decoration in purple, red, white and green in the middle. On the bottom is the maker's mark: a circle with ""WWWW C 51"" on the inside with a crown on top and the number ""74"" in plum.",,,Royal Worcester,,,,Early 20th century,1900,,1929,,2.7,,Hill House / Dining Room
2.70.6,single object,1,"Cooking, Dining and Drinking",Plate,,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverese is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.",,,Royal Worcester,,,,Early 20th century,1900,,1929,,2.7,,Hill House / Dining Room
2.70.7,single object,1,"Cooking, Dining and Drinking",Plate,,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverese is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.",,,Royal Worcester,,,,Early 20th century,1900,,1929,,2.7,,Hill House / Dining Room
2.70.8,single object,1,"Cooking, Dining and Drinking",Plate,,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverese is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.",,,Royal Worcester,,,,Early 20th century,1900,,1929,,2.7,,Hill House / Dining Room
2.70.9,single object,1,"Cooking, Dining and Drinking",Plate,,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverese is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.",,,Royal Worcester,,,,Early 20th century,1900,,1929,,2.7,,Hill House / Dining Room
2.70.10,single object,1,"Cooking, Dining and Drinking",Plate,,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverese is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.",,,Royal Worcester,,,,Early 20th century,1900,,1929,,2.7,,Hill House / Dining Room
2.70.11,single object,1,"Cooking, Dining and Drinking",Plate,,"A white ceramic round plate with a gold rim and gold, pink and blue decoration around the edge. In the centre of the plate there is a hand painted floral decoration. On the reverse is a maker's mark: circle with ""WWWW C 51"" inside with a crown on top and the number ""74"" in plum.",,,Royal Worcester,,,,Early 20th century,1900,,1929,,2.7,,Hill House / Dining Room
